Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,0,0.0,1,1
3,1,3,0,0.0,0,3
100,1,91,99,0.5,9,91
200,1,174,197,0.99,26,174
2000,1,1786,1999,10.0,214,1786
10000,1,8998,9998,49.99,1002,8998
20000,1,17959,10000,50.0,2041,17959
40000,1,36029,3,0.02,3971,36029
60000,1,53961,4,0.02,6039,53961
80000,1,71714,79999,399.99,8286,71714
100000,1,89922,1,0.01,10078,89922
2,2,2,0,0.0,0,2
3,2,3,0,0.0,0,3
100,2,85,50,0.25,15,85
200,2,188,2,0.01,12,188
2000,2,1786,1000,5.0,214,1786
10000,2,9018,1,0.01,982,9018
20000,2,17948,10000,50.0,2052,17948
40000,2,35794,39995,199.97,4206,35794
60000,2,53925,30000,150.0,6075,53925
80000,2,71783,40000,200.0,8217,71783
100000,2,89600,99997,499.98,10400,89600
2,3,1,0,0.0,1,1
3,3,3,0,0.0,0,3
100,3,96,50,0.25,4,96
200,3,182,1,0.01,18,182
2000,3,1773,1999,10.0,227,1773
10000,3,9000,4,0.02,1000,9000
20000,3,17922,19999,99.99,2078,17922
40000,3,36098,2,0.01,3902,36098
60000,3,53918,2,0.01,6082,53918
80000,3,71965,40000,200.0,8035,71965
100000,3,89573,99999,499.99,10427,89573
2,4,2,0,0.0,0,2
3,4,3,0,0.0,0,3
100,4,93,1,0.01,7,93
200,4,180,198,0.99,20,180
2000,4,1811,1000,5.0,189,1811
10000,4,8893,9997,49.99,1107,8893
20000,4,17818,19996,99.98,2182,17818
40000,4,35949,20000,100.0,4051,35949
60000,4,53913,5,0.03,6087,53913
80000,4,71569,79994,399.97,8431,71569
100000,4,89671,50000,250.0,10329,89671
2,5,2,0,0.0,0,2
3,5,3,0,0.0,0,3
100,5,88,50,0.25,12,88
200,5,176,199,1.0,24,176
2000,5,1791,1000,5.0,209,1791
10000,5,8968,2,0.01,1032,8968
20000,5,17981,10000,50.0,2019,17981
40000,5,36073,3,0.02,3927,36073
60000,5,53567,59997,299.98,6433,53567
80000,5,71836,40000,200.0,8164,71836
100000,5,89711,50000,250.0,10289,89711
2,6,2,0,0.0,0,2
3,6,3,0,0.0,0,3
100,6,89,50,0.25,11,89
200,6,186,100,0.5,14,186
2000,6,1782,1000,5.0,218,1782
10000,6,8980,9997,49.99,1020,8980
20000,6,17996,5,0.03,2004,17996
40000,6,35816,39997,199.98,4184,35816
60000,6,53786,59997,299.98,6214,53786
80000,6,71938,7,0.04,8062,71938
100000,6,89640,99999,499.99,10360,89640
2,7,2,0,0.0,0,2
3,7,3,0,0.0,0,3
100,7,93,1,0.01,7,93
200,7,173,100,0.5,27,173
2000,7,1795,1998,9.99,205,1795
10000,7,9021,1,0.01,979,9021
20000,7,17940,2,0.01,2060,17940
40000,7,35892,2,0.01,4108,35892
60000,7,53978,4,0.02,6022,53978
80000,7,71692,40000,200.0,8308,71692
